rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0023,0.0002,8.1227e-06,8.19085e-06
0.0331,0.0106,8.14993e-06,8.20078e-06
0.0476,0.0124,8.13725e-06,8.19534e-06
0.002,0,8.13275e-06,8.20218e-06
0.0036,0.0001,8.13291e-06,8.19522e-06
0.0001,0,8.19839e-06,8.21917e-06
0.0024,0,8.10251e-06,8.16765e-06
0.0019,0.0003,8.09671e-06,8.13775e-06
0.0048,0.0002,8.14941e-06,8.21095e-06
0.009,0.003,8.10415e-06,8.16075e-06
0.0007,0,8.08096e-06,8.14772e-06
0.0405,0.0127,8.11732e-06,8.15704e-06
0.0025,0.0001,8.10911e-06,8.17263e-06
0.0434,0.0084,8.12886e-06,8.18952e-06
0.0016,0.0001,8.14866e-06,8.20097e-06
0.0047,0.0001,8.11552e-06,8.16821e-06
0.017,0,8.13679e-06,8.19278e-06
0.0008,0.0001,8.14917e-06,8.20602e-06
0.0021,0,8.14409e-06,8.21226e-06
0.0011,0.0001,8.09879e-06,8.16795e-06
0.0035,0.0001,8.13832e-06,8.19481e-06
0.0019,0.0001,8.11797e-06,8.18176e-06
0.0038,0.0002,8.10447e-06,8.16232e-06
0.0018,0,8.1367e-06,8.20417e-06
0.134,0.0529,8.14797e-06,8.20963e-06
0.1135,0.0563,8.17312e-06,8.22223e-06
0.0495,0.0102,8.13682e-06,8.19495e-06
0.0005,0,8.15609e-06,8.22763e-06
0.0024,0,8.10751e-06,8.17253e-06
0.001,0,8.11951e-06,8.17389e-06
0.0028,0.0002,8.13014e-06,8.17934e-06
0.0019,0,8.0996e-06,8.16967e-06
0.0031,0.0001,8.10458e-06,8.15604e-06
0.0491,0.0002,8.27818e-06,8.33953e-06
0.0014,0,8.11186e-06,8.17242e-06
0.0025,0.0001,8.10254e-06,8.15754e-06
0.0009,0.0001,8.12124e-06,8.16766e-06
0.06,0.0139,8.14239e-06,8.20156e-06
0.0255,0.0078,8.13174e-06,8.18837e-06
0.018,0.0002,8.16827e-06,8.22955e-06
0.0022,0.0001,8.15094e-06,8.19905e-06
0.0693,0.0157,8.15109e-06,8.20987e-06
0.0018,0,8.12908e-06,8.19845e-06
0.0012,0,8.12454e-06,8.18288e-06
0.001,0.0001,8.11859e-06,8.18976e-06
0.0021,0,8.11428e-06,8.174e-06
0.0015,0.0001,8.13394e-06,8.19805e-06
0.004,0.0001,8.15415e-06,8.22045e-06
0.0011,0.0001,8.11888e-06,8.16681e-06
0.1077,0.0303,8.16598e-06,8.22538e-06
